label,precision,recall,f1-score,support
apple_overripe,0.9550898203592815,0.8836565096952909,0.9179856115107914,361.0
apple_ripe,0.8854166666666666,0.8823529411764706,0.8838821490467937,289.0
apple_unripe,0.902834008097166,0.7034700315457413,0.7907801418439716,317.0
banana_overripe,0.9708222811671088,0.9581151832460733,0.9644268774703557,382.0
banana_ripe,0.9,0.9364161849710982,0.9178470254957507,346.0
banana_unripe,0.9206798866855525,0.9206798866855525,0.9206798866855525,353.0
mango_overripe,0.6129032258064516,0.8444444444444444,0.7102803738317757,45.0
mango_ripe,0.7217391304347827,0.83,0.772093023255814,100.0
mango_unripe,0.8034188034188035,0.8545454545454545,0.8281938325991189,110.0
orange_overripe,0.9319148936170213,0.8423076923076923,0.8848484848484849,260.0
orange_ripe,0.8669354838709677,0.8704453441295547,0.8686868686868687,247.0
orange_unripe,0.728744939271255,0.8653846153846154,0.7912087912087912,208.0
papaya_overripe,0.5666666666666667,0.4146341463414634,0.4788732394366197,41.0
papaya_ripe,0.6,0.78,0.6782608695652174,50.0
papaya_unripe,0.68,0.68,0.68,50.0
pineapple_overripe,0.6511627906976745,0.6511627906976745,0.6511627906976745,43.0
pineapple_ripe,0.5625,0.574468085106383,0.5684210526315789,47.0
pineapple_unripe,0.6229508196721312,0.7755102040816326,0.6909090909090909,49.0
tomato_overripe,0.3684210526315789,0.875,0.5185185185185185,8.0
tomato_ripe,0.8275862068965517,0.9230769230769231,0.8727272727272727,26.0
tomato_unripe,0.8125,0.9285714285714286,0.8666666666666667,28.0
